,tim,aus,eur,nez,unk,bra,can,chi,hnk,ind,kor,mex,saf,sng,den,jpn,mal,nor,swe,srl,swi,twn,tha
60,2000-03-27,1.6355999999999999,1.0367999999999999,2.0276000000000001,0.63070000000000004,1.736,1.4604999999999999,8.2791999999999994,7.7854999999999999,43.619999999999997,1112.0999999999999,9.1824999999999992,6.4649999999999999,1.716,7.7190000000000003,107.13,3.7999999999999998,8.4060000000000006,8.6464999999999996,73.849999999999994,1.6468,30.649999999999999,37.799999999999997
61,2000-03-28,1.6284000000000001,1.0401,1.99,0.63,1.7490000000000001,1.4540999999999999,8.2795000000000005,7.7850000000000001,43.649999999999999,1112.5,9.1839999999999993,6.4900000000000002,1.7150000000000001,7.7469999999999999,105.90000000000001,3.7999999999999998,8.3900000000000006,8.5675000000000008,73.849999999999994,1.6551,30.640000000000001,37.799999999999997
62,2000-03-29,1.6329,1.05,1.994,0.63009999999999999,1.74,1.4555,8.2789000000000001,7.7865000000000002,43.649999999999999,1109.4000000000001,9.2349999999999994,6.5125000000000002,1.7168000000000001,7.819,105.59999999999999,3.7999999999999998,8.4499999999999993,8.6675000000000004,73.900000000000006,1.6725000000000001,30.600000000000001,37.789999999999999
63,2000-03-30,1.6327,1.0423,2.004,0.62809999999999999,1.7529999999999999,1.4557,8.2788000000000004,7.7866,43.649999999999999,1107.5,9.3059999999999992,6.5789999999999997,1.7194,7.7629999999999999,105.53,3.7999999999999998,8.4049999999999994,8.6329999999999991,73.849999999999994,1.6605000000000001,30.600000000000001,37.880000000000003
64,2000-03-31,1.6496,1.0445,2.0160999999999998,0.62809999999999999,1.742,1.4538,8.2787000000000006,7.7866999999999997,43.649999999999999,1105.5,9.2895000000000003,6.5350000000000001,1.712,7.7750000000000004,102.73,3.7999999999999998,8.4350000000000005,8.6349999999999998,73.849999999999994,1.663,30.48,37.850000000000001
65,2000-04-03,1.6466000000000001,1.046,2.0007999999999999,0.62580000000000002,1.742,1.4548000000000001,8.2786000000000008,7.7868000000000004,43.631999999999998,1113,9.2899999999999991,6.5650000000000004,1.7173,7.7895000000000003,104.81999999999999,3.7999999999999998,8.4640000000000004,8.6780000000000008,73.849999999999994,1.6587000000000001,30.5,37.799999999999997
66,2000-04-04,1.6577999999999999,1.0429999999999999,1.9972000000000001,0.62639999999999996,1.7450000000000001,1.4531000000000001,8.2790999999999997,7.7862999999999998,43.649999999999999,1114,9.3119999999999994,6.5599999999999996,1.7182999999999999,7.7770000000000001,105.33,3.7999999999999998,8.4900000000000002,8.6910000000000007,74.180000000000007,1.6499999999999999,30.449999999999999,37.859999999999999
67,2000-04-05,1.6520999999999999,1.0366,1.9869000000000001,0.62890000000000001,1.7549999999999999,1.4548000000000001,8.2795000000000005,7.7864000000000004,43.68,1115.5,9.3949999999999996,6.6025,1.716,7.7225000000000001,105,3.7999999999999998,8.4425000000000008,8.6225000000000005,74.150000000000006,1.633,30.5,38.049999999999997
68,2000-04-06,1.6621999999999999,1.0438000000000001,1.996,0.63290000000000002,1.7450000000000001,1.4515,8.2795000000000005,7.7869999999999999,43.649999999999999,1112,9.3640000000000008,6.5750000000000002,1.7150000000000001,7.774,104.78,3.7999999999999998,8.4760000000000009,8.6609999999999996,74.180000000000007,1.639,30.48,38.049999999999997
69,2000-04-07,1.6657999999999999,1.0427999999999999,1.9987999999999999,0.63170000000000004,1.746,1.4574,8.2795000000000005,7.7877999999999998,43.670000000000002,1107.5,9.3222000000000005,6.5609999999999999,1.7161999999999999,7.7670000000000003,105.33,3.7999999999999998,8.4819999999999993,8.6419999999999995,74.150000000000006,1.6383000000000001,30.5,37.994999999999997
70,2000-04-10,1.6692,1.0429999999999999,2.0059999999999998,0.63180000000000003,1.738,1.4615,8.2797999999999998,7.7874999999999996,43.659999999999997,1110.5,9.2899999999999991,6.5549999999999997,1.7190000000000001,7.7649999999999997,106.37,3.7999999999999998,8.5020000000000007,8.6099999999999994,74.049999999999997,1.6435,30.350000000000001,38.049999999999997
71,2000-04-11,1.6787000000000001,1.0426,2.0064000000000002,0.63,1.7475000000000001,1.4635,8.2790999999999997,7.7869999999999999,43.68,1110,9.3659999999999997,6.5925000000000002,1.72,7.7670000000000003,106.95,3.7999999999999998,8.5259999999999998,8.6340000000000003,74.099999999999994,1.6415,30.350000000000001,38.07
72,2000-04-12,1.675,1.0469999999999999,2.0101,0.62960000000000005,1.748,1.4622999999999999,8.2796000000000003,7.7877999999999998,43.700000000000003,1108.5,9.3970000000000002,6.5739999999999998,1.7193000000000001,7.7969999999999997,105.86,3.7999999999999998,8.5329999999999995,8.702,74.049999999999997,1.649,30.350000000000001,38.049999999999997
73,2000-04-13,1.677,1.05,2.0087999999999999,0.62970000000000004,1.764,1.4661,8.2794000000000008,7.7878999999999996,43.700000000000003,1107,9.3989999999999991,6.5644999999999998,1.716,7.8224999999999998,105.76000000000001,3.7999999999999998,8.5459999999999994,8.7230000000000008,74.049999999999997,1.6519999999999999,30.350000000000001,37.850000000000001
74,2000-04-14,1.6745000000000001,1.0456000000000001,2.0095999999999998,0.63049999999999995,1.786,1.4766999999999999,8.2794000000000008,7.7880000000000003,43.75,1111.2,9.5009999999999994,6.5834999999999999,1.7078,7.7907999999999999,105.12,3.7999999999999998,8.5434999999999999,8.6999999999999993,74.040000000000006,1.6408,30.449999999999999,37.899999999999999
75,2000-04-17,1.6912,1.0470999999999999,2.0222000000000002,0.63080000000000003,1.7889999999999999,1.4855,8.2794000000000008,7.7881999999999998,43.68,1113.8,9.4824999999999999,6.6210000000000004,1.7069000000000001,7.7975000000000003,104.19,3.7999999999999998,8.5869999999999997,8.7200000000000006,73.799999999999997,1.6439999999999999,30.550000000000001,37.969999999999999
76,2000-04-18,1.6818,1.0551999999999999,2.0190000000000001,0.63439999999999996,1.766,1.4837,8.2789999999999999,7.7885,43.700000000000003,1110,9.4369999999999994,6.6100000000000003,1.6990000000000001,7.8615000000000004,104.59,3.7999999999999998,8.6310000000000002,8.7439999999999998,74.25,1.6603000000000001,30.600000000000001,37.920000000000002
77,2000-04-19,1.6787000000000001,1.0672999999999999,2.0059999999999998,0.63380000000000003,1.766,1.4761,8.2792999999999992,7.7885999999999997,43.700000000000003,1109.5,9.391,6.6379999999999999,1.6992,7.9524999999999997,104.94,3.7999999999999998,8.7140000000000004,8.798,74.25,1.6755,30.620000000000001,37.979999999999997
78,2000-04-20,1.6860999999999999,1.0666,2.0202,0.63290000000000002,1.7809999999999999,1.4724999999999999,8.2790999999999997,7.7888000000000002,43.686999999999998,1109,9.4030000000000005,6.702,1.6978,7.9524999999999997,105.45,3.7999999999999998,8.6925000000000008,8.8000000000000007,73.849999999999994,1.6772,30.550000000000001,37.969999999999999
79,2000-04-21,1.6878,1.0662,2.0263,0.63349999999999995,1.7789999999999999,1.4750000000000001,8.2784999999999993,7.7887000000000004,43.700000000000003,1108.5,9.4045000000000005,6.7400000000000002,1.6990000000000001,7.9489999999999998,105.88,3.7999999999999998,8.6769999999999996,8.7859999999999996,74,1.6759999999999999,30.585000000000001,37.950000000000003
